player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Cal Raleigh,663728,2022,31,6,61,84,10,61,91,87,78,7,58,8,39,
Abraham Toro,647351,2022,20,30,37,42,18,38,42,14,10,75,42,79,67,88
Christian Vázquez,543877,2022,39,75,37,23,40,38,31,27,25,80,17,88,15,
Luke Voit,572228,2022,70,17,79,91,49,91,97,79,83,4,83,1,7,
Brendan Rodgers,663898,2022,48,62,53,40,40,73,51,69,85,72,31,52,38,28
J.P. Crawford,641487,2022,43,73,15,6,75,8,4,2,6,94,58,95,47,6
DJ LeMahieu,518934,2022,94,95,77,49,99,54,34,58,65,94,96,93,36,97
Stephen Piscotty,572039,2022,,,,,,,,,,,,,10,
Nick Allen,669397,2022,,,,,,,,,,,,,57,28
Dylan Moore,664238,2022,,,,,,,,,,,,,77,63
Andrew Velazquez,623205,2022,1,3,4,16,1,11,22,46,27,2,4,9,91,93
Paul Goldschmidt,502671,2022,88,67,89,89,80,91,83,79,81,47,86,39,31,6
Kevin Newman,621028,2022,,,,,,,,,,,,,62,28
Oscar Gonzalez,660757,2022,,,,,,,,,,,,,90,
Sergio Alcántara,642727,2022,,,,,,,,,,,,,62,77
Marcell Ozuna,542303,2022,75,60,90,91,35,96,90,61,80,41,32,35,36,
Luis González,670768,2022,16,27,12,15,33,3,8,22,27,62,52,76,74,8
Byron Buxton,621439,2022,87,36,95,97,40,88,96,97,94,7,47,7,93,95
Jared Walsh,665120,2022,19,33,42,49,11,73,67,77,70,9,11,44,21,43
Cavan Biggio,624415,2022,,,,,,,,,,,,,79,92
Seby Zavala,664874,2022,,,,,,,,,,,,,20,
Jason Vosler,613564,2022,,,,,,,,,,,,,33,
David Villar,681584,2022,,,,,,,,,,,,,32,
Max Kepler,596146,2022,88,89,75,57,96,54,50,64,62,88,90,69,66,98
Eduardo Escobar,500871,2022,20,21,41,54,11,63,53,39,29,29,32,33,65,8
Amed Rosario,642708,2022,46,90,44,19,50,28,13,46,43,86,8,80,97,43
Brandon Nimmo,607043,2022,79,84,66,51,84,73,50,74,49,75,55,83,86,88
Seth Beer,666179,2022,,,,,,,,,,,,,6,
Matt Duffy,622110,2022,,,,,,,,,,,,,41,
Andrew Knizner,668800,2022,,,,,,,,,,,,,17,
LaMonte Wade Jr.,664774,2022,,,,,,,,,,,,,33,
Willy Adames,642715,2022,58,18,81,92,23,86,89,44,59,15,57,18,63,98
Juan Lagares,501571,2022,,,,,,,,,,,,,57,
Christopher Morel,666624,2022,84,65,88,88,67,69,92,66,61,10,63,4,92,6
Nick Fortes,663743,2022,,,,,,,,,,,,,64,
José Iglesias,578428,2022,17,76,8,1,39,1,1,2,8,94,6,96,81,43
Trent Grisham,663757,2022,33,13,27,43,39,54,48,15,14,36,77,52,88,88
Xander Bogaerts,593428,2022,54,62,38,30,74,48,33,42,52,52,66,45,71,77
Alex Bregman,608324,2022,75,55,54,49,89,69,46,55,37,92,95,94,30,18
Kyle Lewis,641786,2022,,,,,,,,,,,,,3,
Jonah Bride,681146,2022,,,,,,,,,,,,,44,
Dee Strange-Gordon,543829,2022,,,,,,,,,,,,,81,
Luis Barrera,642456,2022,,,,,,,,,,,,,83,
Alcides Escobar,444876,2022,,,,,,,,,,,,,75,8
Matt Carpenter,572761,2022,,,,,,,,,,,,,24,
Austin Wynns,642851,2022,,,,,,,,,,,,,9,
Nolan Gorman,669357,2022,,,,,,,,,,,,,41,6
Tomás Nido,621512,2022,,,,,,,,,,,,,14,
Austin Hedges,595978,2022,,,,,,,,,,,,,6,
Corey Seager,608369,2022,96,93,96,95,90,94,79,87,81,84,61,43,24,84
Rodolfo Castro,666801,2022,,,,,,,,,,,,,43,
Tucupita Marcano,672779,2022,,,,,,,,,,,,,88,
Lorenzo Cain,456715,2022,,,,,,,,,,,,,76,
Alex Kirilloff,666135,2022,,,,,,,,,,,,,60,
Jorge Mateo,622761,2022,8,19,21,30,6,38,41,17,9,6,7,8,99,97
Cal Mitchell,668751,2022,,,,,,,,,,,,,27,
Garrett Cooper,643265,2022,77,76,73,65,73,61,64,74,70,28,47,58,25,
Eddie Rosario,592696,2022,,,,,,,,,,,,,66,
Patrick Wisdom,621550,2022,42,4,55,81,27,88,95,91,92,2,78,3,56,1
Bo Bichette,666182,2022,53,75,68,60,38,84,63,86,91,33,22,45,55,63
Paul DeJong,657557,2022,,,,,,,,,,,,,61,43
Leody Taveras,665750,2022,,,,,,,,,,,,,96,
Anthony Rendon,543685,2022,,,,,,,,,,,,,28,63
Andrelton Simmons,592743,2022,,,,,,,,,,,,,38,
Alejandro Kirk,672386,2022,93,96,88,73,95,63,53,90,78,99,74,92,5,
Adolis García,666969,2022,62,53,82,81,28,88,81,91,85,12,25,6,75,88
Jake Hager,606993,2022,,,,,,,,,,,,,49,
Hoy Park,660829,2022,,,,,,,,,,,,,54,
Josh VanMeter,642165,2022,,,,,,,,,,,,,22,28
Victor Caratini,605170,2022,,,,,,,,,,,,,11,
Travis d'Arnaud,518595,2022,30,37,47,52,17,40,48,19,26,53,4,48,26,
Travis Demeritte,641513,2022,,,,,,,,,,,,,76,
William Contreras,661388,2022,,,,,,,,,,,,,32,
Francisco Lindor,596019,2022,67,55,68,70,63,80,56,57,46,56,57,60,62,93
Jonathan Davis,641505,2022,,,,,,,,,,,,,72,
Matt Reynolds,608703,2022,,,,,,,,,,,,,52,43
Chad Pinder,640461,2022,14,32,47,54,3,23,44,48,78,2,2,6,22,3
Ramón Laureano,657656,2022,65,24,73,81,40,76,88,48,42,27,51,25,58,12
Jeremy Peña,665161,2022,43,48,57,56,25,69,68,38,32,29,11,17,95,95
Ty France,664034,2022,78,88,68,47,86,48,32,34,38,89,25,87,7,18
Julio Rodríguez,677594,2022,75,58,85,85,51,96,94,93,95,16,38,10,97,93
Skye Bolt,621450,2022,,,,,,,,,,,,,61,
Victor Reyes,622682,2022,,,,,,,,,,,,,54,
Kris Bryant,592178,2022,,,,,,,,,,,,,52,
Adley Rutschman,668939,2022,75,65,62,57,84,23,47,52,73,68,79,83,53,
Tyrone Taylor,621438,2022,36,41,54,57,19,40,57,29,34,37,13,49,81,63
Yu Chang,644374,2022,,,,,,,,,,,,,73,
Edmundo Sosa,624641,2022,,,,,,,,,,,,,97,84
Jon Berti,542932,2022,50,46,22,18,79,8,20,27,37,50,90,63,95,63
Frank Schwindel,643524,2022,15,33,25,28,13,17,21,36,32,58,29,40,14,
Didi Gregorius,544369,2022,5,24,5,9,13,3,8,3,2,83,19,56,53,12
