,player_name,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,xera,fb_velocity,fb_spin,curve_spin,rating
79,Junior Guerra,0.34,0.48,0.78,0.89,0.07,0.87,0.92,0.87,0.73,0.24,0.01,0.58,0.34,0.41,0.4,0.65,8.58
80,Luis Garcia,0.58,0.54,0.51,0.49,0.68,0.22,0.56,0.66,0.49,0.68,0.56,0.8,0.58,0.17,0.77,0.24,8.53
81,Jon Gray,0.57,0.54,0.61,0.65,0.5,0.24,0.62,0.46,0.54,0.56,0.39,0.54,0.57,0.76,0.29,0.69,8.53
82,Nick Pivetta,0.65,0.74,0.56,0.43,0.66,0.13,0.43,0.29,0.34,0.69,0.29,0.38,0.65,0.75,0.62,0.84,8.45
83,Adam Wainwright,0.63,0.33,0.55,0.71,0.63,0.1,0.75,0.64,0.72,0.3,0.83,0.07,0.63,0.03,0.63,0.9,8.45
84,Josh Staumont,0.61,0.7,0.57,0.47,0.57,0.61,0.37,0.02,0.07,0.75,0.24,0.53,0.61,0.91,0.5,0.84,8.37
85,Mike Mayers,0.66,0.74,0.54,0.39,0.75,0.54,0.43,0.06,0.25,0.81,0.5,0.72,0.66,0.45,0.71,0.15,8.36
86,Robbie Ray,0.72,0.75,0.49,0.31,0.87,0.03,0.16,0.15,0.17,0.93,0.73,0.87,0.72,0.75,0.57,0.12,8.34
87,Ian Kennedy,0.58,0.68,0.33,0.14,0.76,0.67,0.33,0.09,0.1,0.74,0.62,0.6,0.58,0.57,0.87,0.66,8.32
88,Tyler Duffey,0.66,0.65,0.74,0.77,0.42,0.87,0.85,0.04,0.07,0.54,0.18,0.29,0.66,0.36,0.59,0.54,8.23
89,Mark Melancon,0.46,0.19,0.58,0.85,0.22,0.76,0.76,0.88,0.68,0.39,0.34,0.14,0.46,0.29,0.53,0.7,8.23
90,Germán Márquez,0.51,0.33,0.53,0.67,0.42,0.28,0.86,0.48,0.43,0.49,0.47,0.57,0.51,0.73,0.15,0.79,8.22
91,Danny Duffy,0.46,0.4,0.4,0.4,0.53,0.76,0.66,0.33,0.33,0.64,0.43,0.72,0.46,0.57,0.55,0.55,8.19
92,Yimi García,0.38,0.32,0.17,0.1,0.57,0.61,0.3,0.35,0.61,0.61,0.6,0.56,0.38,0.85,0.95,0.83,8.19
93,Kyle Gibson,0.63,0.48,0.66,0.79,0.5,0.29,0.9,0.51,0.46,0.28,0.47,0.4,0.63,0.27,0.45,0.46,8.18
94,Luke Jackson,0.51,0.61,0.55,0.51,0.39,0.67,0.45,0.13,0.33,0.71,0.17,0.8,0.51,0.85,0.42,0.46,8.07
95,Framber Valdez,0.65,0.6,0.82,0.88,0.36,0.36,0.81,0.09,0.11,0.37,0.25,0.49,0.65,0.35,0.33,0.92,8.04
96,Caleb Thielbar,0.59,0.71,0.38,0.19,0.79,0.42,0.03,0.57,0.45,0.83,0.62,0.51,0.59,0.22,0.66,0.39,7.95
97,Steven Matz,0.53,0.31,0.5,0.66,0.57,0.17,0.61,0.72,0.58,0.39,0.76,0.21,0.53,0.71,0.36,0.33,7.94
98,Matthew Boyd,0.47,0.42,0.44,0.45,0.55,0.45,0.48,0.72,0.67,0.24,0.72,0.23,0.47,0.28,0.69,0.65,7.93
